country,capital,offset,timezone,latitude,longitude,Summertime
Israel,Tel Aviv,+03:00,3,32.06666667,34.78333333,
Italy,Rome,+02:00,2,41.89,12.48,
Ivory Coast,Yamoussoukro,00:00,0,6.82,-5.28,
Jamaica,Kingston,-05:00,-5,18,-76.79,
Japan,Edo,+9:00,9,35.69,139.69,
Japan,Tokyo,+09:00,9,35.68972222,139.6922222,
Jersey,Saint Helier,NA,0,49.19,-2.1,1
Jordan,Amman,+03:00,3,31.96,35.95,
Kazakhstan,Astana,+06:00,6,51.18,71.45,
Kenya,Nairobi,+03:00,3,-1.28,36.82,
Kiribati,South Tarawa,+12:00,12,1.33,172.98,
Kosovo,Pristina,NA,1,42.67,21.17,1
Kuwait,Kuwait City,+03:00,3,29.37,47.98,
Kyrgyzstan,Bishkek,+06:00,6,42.87,74.59,
Laos,Vientiane,+07:00,7,17.97,102.6,
Latvia,Riga,+03:00,3,56.95,24.11,
Lebanon,Beirut,+03:00,3,33.89,35.49,
Lesotho,Maseru,+02:00,2,-29.32,27.48,
Liberia,Monrovia,00:00,0,6.3,-10.8,
Libya,Tripoli,+02:00,2,32.88,13.19,
Liechtenstein,Vaduz,+02:00,2,47.14,9.52,
Lithuania,Vilnius,+03:00,3,54.69,25.28,
Luxembourg,Luxembourg,+02:00,2,49.61,6.13,
Macao,Macao,+08:00,8,22.2,113.55,
Macedonia,Skopje,+02:00,2,42,21.43,
Madagascar,Antananarivo,+03:00,3,-18.91,47.54,
Malawi,Lilongwe,+02:00,2,-13.97,33.79,
Malaysia,Kuala Lumpur,+08:00,8,3.14,101.69,
Maldives,Male,+05:00,5,4.17,73.51,
Mali,Bamako,00:00,0,12.65,-8,
Malta,Valletta,+02:00,2,35.9,14.51,
Marshall Islands,Majuro,+12:00,12,7.09,171.38,
Martinique,Fort-de-France,-04:00,-4,14.61,-61.07,
Mauritania,Nouakchott,00:00,0,18.09,-15.98,
Mauritius,Port Louis,+04:00,4,-20.16,57.5,
Mayotte,Mamoutzou,NA,3,-12.78,45.23,
Mexico,Mexico City,-05:00,-5,19.43,-99.13,
Micronesia,Palikir,+11:00,11,6.92,158.16,
Moldova,Chisinau,+03:00,3,47.01,28.86,
Monaco,Monaco,+02:00,2,43.73,7.42,
Mongolia,Ulan Bator,+08:00,8,47.91,106.88,
Montenegro,Podgorica,+02:00,2,42.44,19.26,
Montserrat,Plymouth,-04:00,-4,16.71,-62.21,
Morocco,Rabat,00:00,0,34.01,-6.83,
Mozambique,Maputo,+02:00,2,-25.97,32.58,
Myanmar,Nay Pyi Taw,+6:30,6.5,19.75,96.13,
Namibia,Windhoek,+02:00,2,-22.56,17.08,
Nauru,Yaren,+12:00,12,166.93,-0.54,
Nepal,Kathmandu,+05:45,5,27.7,85.32,
Netherlands,Amsterdam,+02:00,2,52.37,4.89,
Netherlands,The Hague,+02:00,2,52.37,4.89,
New Caledonia,Noumea,+11:00,11,-22.28,166.46,
New Zealand,Wellington,+12:00,12,-41.29,174.78,
Nicaragua,Managua,-06:00,-6,12.13,-86.25,
Niger,Niamey,+01:00,1,13.51,2.11,
Nigeria,Abuja,+01:00,1,9.07,7.48,
Niue,Alofi,-11:00,-11,-19.06,-169.92,
Norfolk Island,Kingston,NA,11,-29.05,167.97,1
North Korea,Pyongyang,+09:00,9,39.03,125.75,
Northern Mariana Islands,Saipan,+10:00,10,15.21,145.75,
Norway,Oslo,+02:00,2,59.91,10.75,
Oman,Muscat,+04:00,4,23.61,58.59,
Pakistan,Islamabad,+05:00,5,33.72,73.04,
Palau,Koror,+09:00,9,7.5,134.62,
Palau,Melekeok,+09:00,9,7.5,134.62,
Palestinian Territory,East Jerusalem,+2:00,2,35.23,31.77,
Palestinian Territory,Ramallah,+03:00,3,31.9,35.2,
Panama,Panama City,-05:00,-5,8.99,-79.52,
Papua New Guinea,Port Moresby,NA,10,-9.44,147.18,
Paraguay,Asuncion,-04:00,-4,-25.3,-57.64,
Peru,Lima,-05:00,-5,-12.04,-77.03,
Philippines,Manila,+08:00,8,14.6,120.98,
Pitcairn,Adamstown,-08:00,-8,-25.07,-130.1,
Poland,Warsaw,+02:00,2,52.23,21.01,
Portugal,Lisbon,+01:00,1,38.72,-9.13,
Puerto Rico,San Juan,-04:00,-4,18.47,-66.11,
Qatar,Doha,+03:00,3,25.28,51.52,
Republic of the Congo,Brazzaville,+04:00,4,-4.27,15.28,
Reunion,Saint-Denis,+04:00,4,-20.88,55.45,
Romania,Bucharest,+03:00,3,44.43,26.11,
Russia,Moscow,+03:00,3,55.75,37.62,
Rwanda,Kigali,+02:00,2,-1.95,30.06,
Saint Barthelemy,Gustavia,NA,-4,17.9,-62.85,
Saint Helena,Jamestown,UTC,0,-15.94,-5.72,
Saint Kitts and Nevis,Basseterre,-04:00,-4,17.29,-62.73,
Saint Lucia,Castries,-04:00,-4,14,-61.01,
Saint Martin,Marigot,-4:00,-4,18.07,-63.08,
Saint Pierre and Miquelon,Saint-Pierre,NA,-3,46.78,-56.17,1
Saint Vincent and the Grenadines,Kingstown,-04:00,-4,13.16,-61.22,
Samoa,Apia,+13:00,13,-13.83,-171.77,
San Marino,San Marino,+02:00,2,43.94,12.45,
Sao Tome and Principe,Sao Tome,00:00,0,0.34,6.73,
Sao Tome and Principe,Sao Tome,00:00,0,0.34,6.73,
Saudi Arabia,Riyadh,+03:00,3,24.69,46.72,
Senegal,Dakar,00:00,0,14.69,-17.44,
Serbia,Belgrade,+02:00,2,44.8,20.47,
Seychelles,Victoria,+4:00,4,-4.62,55.45,
Sierra Leone,Freetown,00:00,0,8.48,-13.23,
Singapore,Singapore,+08:00,8,1.29,103.85,
Slovakia,Bratislava,+02:00,2,48.15,17.11,
Slovenia,Ljubljana,+02:00,2,46.05,14.51,
Solomon Islands,Honiara,+11:00,11,-9.43,159.95,
Somalia,Mogadishu,+03:00,3,2.04,45.34,
South Africa,Pretoria,+02:00,2,-25.74,28.19,
South Korea,Seoul,+09:00,9,37.57,126.98,
Spain,Madrid,+02:00,2,40.42,-3.7,
Sri Lanka,Colombo,+05:30,5,6.93,79.85,
Sudan,Khartoum,+02:00,2,15.55,32.53,
Suriname,Paramaribo,-03:00,-3,5.87,-55.17,
Svalbard and Jan Mayen,Longyearbyen,NA,1,78.22,15.64,1
Swaziland,Mbanane,+02:00,2,-26.32,31.13,
Sweden,Stockholm,+02:00,2,59.33,18.06,
Switzerland,Berne,+02:00,2,46.95,7.45,
Syria,Damascus,+03:00,3,33.51,36.29,
Taiwan,Taipei,+08:00,8,25.05,121.53,
Tajikistan,Dushanbe,+05:00,5,38.54,68.78,
Tanzania,Dodoma,+3:00,3,-6.17,35.74,
Tanzania,Dar es Salaam,+03:00,3,-5.2,39.28333333,
Thailand,Bangkok,+07:00,7,13.75,100.5,
Togo,Lome,00:00,0,6.14,1.21,
Tokelau,Nukunonu,+13:00,13,-171.85,-9.2,
Tonga,Nuku'alofa,+13:00,13,-21.13,-175.2,
Trinidad and Tobago,Port of Spain,-04:00,-4,10.67,-61.52,
Tunisia,Tunis,+01:00,1,36.82,10.17,
Turkey,Ankara,+03:00,3,39.92,32.85,
Turkmenistan,Ashkhabad,+05:00,5,37.95,58.38,
Turks and Caicos Islands,Cockburn Town,-04:00,-4,21.46,-71.14,
Tuvalu,Funafuti,+12:00,12,-8.52,179.19,
Uganda,Kampala,+03:00,3,0.32,32.58,
Ukraine,Kiev,+03:00,3,50.45,30.52,
United Arab Emirates,Abu Dhabi,+04:00,4,24.47,54.37,
United Kingdom,London,+01:00,1,51.51,-0.13,
United States,Washington,-04:00,-4,38.9,-77.04,
Alaska(US),Anchorage,-9:00,-9,61.217,-149.9,1
Uruguay,Montevideo,-03:00,-3,-34.83,-56.17,
US Virgin Islands,Charlotte Amalie,-04:00,-4,18.34,-64.93,
Uzbekistan,Tashkent,+05:00,5,41.26,69.22,
Vanuatu,Port Vila,+11:00,11,-17.73,168.32,
Vatican,Vatican,+02:00,2,41.9,12.45,
Venezuela,Caracas,-04:00,-4,10.49,-66.88,
Vietnam,Hanoi,+07:00,7,21.02,105.84,
Wallis and Futuna,Mata-Utu,+12:00,12,-13.28,-176.17,
Western Sahara,El Aaiun,+1:00,1,27.16,-13.2,
Yemen,Sanaa,+03:00,3,15.35,44.21,
Yemen,Sana'a,+03:00,3,15.35,44.21,
Zambia,Lusaka,+02:00,2,-15.41,28.29,
Zimbabwe,Harare,+02:00,2,-17.83,31.05,
